,id,latitude,longitude,city,street,number,elevation
0,466,50.096969,19.914774,Kraków,Władysława Łokietka,133A,222.22
1,2903,50.09422,19.905241,Kraków,Stelmachów,125A,224.07
2,192,50.065128,19.867504,Kraków,aleja Kasztanowa,9,225.86
3,263,49.999615,19.966073,Kraków-Podgórze,Wyżynna,32,235.34
4,627,49.996571,19.957157,Kraków,Stepowa,8,256.48
5,221,50.085346,20.007551,Kraków,Osiedle Dywizjonu 303,26,222.43
6,6182,50.084966,19.877998,Kraków,osiedle Złota Podkowa,22,230.22
7,2098,50.102596,19.917511,Zielonki,Fiołkowa,12,228.5
8,5626,49.993368,19.946925,Kraków,Myślenicka,112,253.36
9,3282,50.097127,19.992093,Kraków,Budziszyńska,44,239.07
10,215,50.096693,19.993572,Kraków,Korony Polskiej,13,243.15
11,1070,50.002872,19.891985,Kraków,Profesora Geremka,26,245.78
12,234,49.99848,19.902375,Kraków,Mieczykowa,6,243.07
13,182,50.020586,20.02296,Kraków,Komandora Bohdana Wrońskiego,9,199.94
14,206,50.108332,19.924004,Zielonki,Długopolska,15,229.1
15,1029,50.078738,20.029012,Kraków,,1,214.55
16,5625,49.991052,19.913596,Kraków,Kłuszyńska,46,234.64
17,183,50.098304,19.879415,Kraków,Stawowa,202,249.34
18,1068,50.108024,19.896124,Kraków,Azaliowa,2A,227.17
19,255,50.115407,19.966652,Węgrzce,Zapole,2,279.26
20,59,50.099361,20.018317,Kraków,Popielidów,,240.01
21,2513,50.117763,19.92077,Zielonki,Droga Wojewódzka 794,116,230.53
22,5651,50.1167,19.91429,Zielonki,Księdza Jana Michalika,2,245.2
23,251,50.118583,19.926746,Zielonki,Galicyjska,17A,235.49
24,237,50.115496,19.98213,Węgrzce,A5,9,242.44
25,225,50.020756,19.844076,Kraków,Dąbrowa,30A,205.85
26,19,50.069308,20.053492,Kraków,Bulwarowa,30,203.87
27,239,50.120482,19.972246,Węgrzce,A3,1,264.39
28,605,50.055737,19.830334,Kraków,Orla,150,282.04
29,609,50.05426,19.826462,Kraków,,,291.38
30,238,50.110831,20.015155,Batowice,Karola Wojtyły,106,249.81
31,252,50.126232,19.954121,Bibice,Tadeusza Kościuszki,1,257.93
32,203,50.083454,20.057153,Kraków,Melchiora Wańkowicza,84,208.16
33,2865,49.980911,19.881126,Kraków,Leona Petrażyckiego,65f,253.67
34,267,50.126026,19.905455,Pękowice,Pod Fortem,6,254.39
35,233,50.123593,19.994082,Bosutów,Krakowska,20,257.97
36,6070,50.118809,20.009399,Dziekanowice,Dziekanowicka,,270.61
37,258,50.128409,19.973662,Węgrzce,C21,14,297.5
38,444,49.9909,20.03226,Wieliczka,Krzyszkowicka,18A,243.62
39,245,50.131359,19.951436,Bibice,Lipowa,39,266.2
40,363,49.972103,19.898235,Libertów,Jana Pawła II,43,308.82
41,247,50.127424,19.898802,Pękowice,Ojcowska,17,275.66
42,493,50.099709,19.837011,Rząska,Krakowska,122,251.92
43,241,50.133024,19.973249,Bosutów,Jodłowa,8,279.92
44,549,50.123853,19.874604,Modlnica,Polna,42,271.78
45,219,50.107347,20.045773,Kraków,Gustawa Morcinka,15,222.21
46,6147,50.133579,19.905573,Zielonki,Trojanowicka,32,242.98
47,5759,49.961026,19.942816,Wrząsowice,,,306.25
48,6068,50.117668,20.033667,Raciborowice,,,235.45
49,5709,50.118934,19.855883,Modlniczka,świętej Faustyny,10,251.32
50,708,50.108296,19.83855,Modlniczka,Kasztanowa,14,231.14
51,229,50.139077,19.926778,Garlica Murowana,Garlicka,,255.72
52,2467,49.970136,20.012222,Sygneczów,,,347.51
53,423,50.006641,20.069019,Czarnochowice,,,220.04
54,662,50.127182,19.864904,Modlnica,Źródlana,16,277.23
55,347,50.140827,19.97341,Michałowice,Legionowa,26,306.98
56,5638,50.140354,19.911984,Trojanowice,Krakowska,118,277.26
57,329,50.1315,20.014326,Książniczki,,,227.36
58,2306,49.960396,19.899989,Gaj,Parkowa,73,284.71
59,2440,49.98842,20.05878,Wieliczka,Marszałka Józefa Piłsudskiego,20,258.4
60,512,50.140965,19.989164,Młodziejowice,,,245.54
